2PA,2P%,3PA,3P%,FTA,FT%,TRB,AST,STL,BLK,TOV,HGT,WGT,POS
6.0,.604,0.1,0,3.6,.708,6.0,0.6,0.7,1.3,1.5,201,106,PF
5.5,.571,0.0,0,2.2,.443,6.3,0.6,0.7,2.0,1.1,213,113,C
5.5,.539,5.4,.373,3.6,.781,3.5,1.9,0.6,0.2,2.0,196,97,SG
6.1,.574,0.0,0,3.2,.729,7.7,0.6,0.5,2.3,1.2,211,111,C
8.9,.586,0.0,0,4.7,.649,8.2,0.6,1.3,1.8,1.6,211,108,C
9.4,.579,0.2,.000,4.5,.564,8.4,0.8,0.6,1.5,2.5,211,106,C
4.8,.482,1.8,.400,3.1,.725,3.6,3.3,1.3,0.7,2.0,190,81,PG
9.3,.508,2.2,.347,5.2,.682,5.5,2.9,2.0,0.8,2.8,193,96,SF
8.9,.522,1.7,.238,5.7,.687,9.4,1.4,1.2,1.3,2.9,206,97,PF
4.1,.481,2.8,.357,2.7,.752,3.5,1.8,0.6,0.9,1.3,198,102,SF
8.5,.532,4.7,.396,5.0,.841,9.0,1.0,0.5,0.5,1.8,206,97,PF
3.5,.564,0.0,0,1.5,.535,4.0,0.2,0.2,1.2,0.8,208,113,C
3.3,.652,1.5,.365,1.8,.522,3.5,0.8,1.0,0.9,1.1,203,97,SF
3.5,.453,5.1,.358,3.2,.800,2.3,3.7,1.2,0.0,1.8,190,88,PG
7.0,.509,3.0,.237,4.5,.504,6.5,2.1,1.7,0.4,3.2,203,90,SF
8.5,.552,0.2,.118,2.7,.676,5.5,0.6,0.7,1.4,1.6,206,102,PF
5.8,.524,3.3,.378,3.6,.759,4.6,2.3,0.5,0.3,1.9,201,99,SG
8.2,.463,4.1,.402,5.5,.808,2.9,6.2,1.4,0.0,3.0,183,81,PG
11.0,.494,2.6,.421,5.8,.893,8.1,1.8,0.9,0.8,2.1,206,102,SF
9.3,.510,4.1,.312,4.2,.733,5.0,1.6,1.0,0.1,2.1,201,95,SG
4.4,.509,5.3,.369,3.5,.801,4.2,2.8,1.3,0.6,1.4,193,99,SG
5.1,.436,2.9,.422,4.4,.800,4.1,4.8,1.3,0.2,2.3,190,88,PG
4.1,.732,5.4,.412,2.7,.673,6.0,7.6,1.8,0.8,2.5,198,86,PG
9.1,.469,4.4,.349,4.3,.734,5.5,1.3,0.9,0.4,1.9,203,97,PF
8.4,.546,3.6,.299,3.7,.733,6.5,2.9,1.5,0.6,2.3,198,79,SG
7.8,.489,4.8,.407,7.4,.839,2.7,4.0,1.0,0.1,3.0,190,90,SG
5.9,.547,0.0,0,3.2,.698,5.4,0.3,0.3,0.8,1.2,208,113,C
6.1,.486,2.1,.334,3.5,.581,4.6,2.7,1.8,0.5,2.3,196,88,SG
5.6,.541,5.0,.339,4.7,.769,6.7,2.2,1.4,0.8,2.1,190,93,SG
7.4,.518,4.2,.387,3.8,.813,5.3,1.5,0.9,0.2,1.7,196,86,SG
14.6,.562,2.9,.379,8.5,.774,12.4,1.2,1.3,1.6,2.9,206,106,PF
5.2,.622,0.2,0,1.8,.630,6.8,1.5,1.1,2.2,1.5,201,86,C
8.8,.520,3.8,.312,4.9,.628,6.7,3.6,1.4,0.8,2.5,198,95,SF
4.6,.463,5.2,.382,3.9,.730,5.5,2.8,1.5,0.4,2.0,185,81,SG
5.7,.531,0.0,0,4.2,.668,7.8,0.8,0.6,3.1,1.2,206,99,C
4.5,.512,4.4,.371,1.6,.753,3.3,1.2,0.5,0.3,1.2,198,89,SG
5.3,.614,0.0,0,3.3,.555,4.7,0.3,0.6,1.1,1.2,206,117,C
6.9,.510,4.7,.347,3.8,.736,4.1,1.3,0.7,0.1,1.4,193,84,SG
5.0,.516,3.5,.383,3.3,.667,3.1,2.9,1.4,0.3,3.0,185,86,PG
6.0,.475,1.8,.277,3.0,.704,3.5,2.0,1.0,0.1,2.0,193,90,SG
6.4,.547,0.7,0,5.0,.713,10.1,0.7,0.6,1.4,2.0,206,104,PF
6.4,.518,0.6,.275,2.9,.658,5.7,0.8,0.6,0.6,1.6,203,113,SG
8.6,.574,0.5,0,3.9,.624,7.9,1.7,1.1,1.9,1.9,201,108,PF
5.0,.650,3.2,.344,3.4,.641,6.8,0.4,0.6,2.7,1.1,208,90,PF
7.5,.457,3.3,.375,1.9,.545,2.9,2.1,1.3,0.5,1.5,188,81,SG
4.7,.573,0.0,0,2.8,.619,5.1,0.6,0.3,0.6,0.7,208,108,C
5.7,.536,2.6,.356,3.6,.708,4.3,2.8,1.6,0.4,2.3,206,83,SF
6.6,.466,3.7,.365,3.5,.876,4.1,2.5,0.9,0.2,1.5,196,98,PG
5.4,.479,4.8,.374,3.2,.834,3.5,4.1,1.1,0.1,2.6,183,73,PG
8.0,.518,3.4,.362,3.5,.794,4.5,2.6,0.9,0.5,2.1,196,92,SF
7.0,.543,4.2,.333,3.6,.739,4.3,1.5,1.1,0.7,1.8,196,90,SG
2.2,.505,0.1,0,1.2,.569,2.3,0.3,0.3,0.4,0.4,198,102,SF
6.9,.480,7.0,.377,2.9,.789,2.5,4.4,1.3,0.1,3.1,188,79,PG
